dataset,policy,batch,k,n,completion,mean_cost_lower,median_lower,median_upper,p90_lower,p90_upper,p95_lower,p95_upper
msmarco-passage-trec-dl-2019,balanced,1,5,43,1.0,125.65116279069767,52,52.0,244,244.0,266,266.0
msmarco-passage-trec-dl-2019,balanced,1,10,43,1.0,5163.930232558139,136,136.0,1394,1394.0,7451,7451.0
msmarco-passage-trec-dl-2019,balanced,1,20,43,1.0,104884.67441860466,368,368.0,53639,53639.0,76810,76810.0
msmarco-passage-trec-dl-2019,balanced,1,50,43,0.46511627906976744,109008.53488372093,10001,inf,53640,inf,76811,inf
msmarco-passage-trec-dl-2019,balanced,1,100,43,0.2558139534883721,110886.69767441861,10001,inf,53640,inf,76811,inf
msmarco-passage-trec-dl-2019,balanced,64,5,43,1.0,202.41860465116278,128,128.0,256,256.0,384,384.0
msmarco-passage-trec-dl-2019,balanced,64,10,43,1.0,5216.0,256,256.0,1408,1408.0,7488,7488.0
msmarco-passage-trec-dl-2019,balanced,64,20,43,1.0,104925.76744186046,384,384.0,53712,53712.0,76880,76880.0
msmarco-passage-trec-dl-2019,balanced,64,50,43,0.46511627906976744,109023.41860465116,10001,inf,53713,inf,76881,inf
msmarco-passage-trec-dl-2019,balanced,64,100,43,0.2558139534883721,110888.93023255814,10001,inf,53713,inf,76881,inf
msmarco-passage-trec-dl-2019,dibud,1,5,43,1.0,123.32558139534883,50,50.0,244,244.0,265,265.0
msmarco-passage-trec-dl-2019,dibud,1,10,43,1.0,4771.511627906977,128,128.0,1268,1268.0,5588,5588.0
msmarco-passage-trec-dl-2019,dibud,1,20,43,1.0,102105.95348837209,311,311.0,43175,43175.0,196410,196410.0
msmarco-passage-trec-dl-2019,dibud,1,50,43,0.5116279069767442,105867.58139534884,8367,8367.0,43176,inf,196411,inf
msmarco-passage-trec-dl-2019,dibud,1,100,43,0.27906976744186046,107889.97674418605,10001,inf,43176,inf,196411,inf
msmarco-passage-trec-dl-2019,dibud,64,5,43,1.0,202.41860465116278,128,128.0,256,256.0,384,384.0
msmarco-passage-trec-dl-2019,dibud,64,10,43,1.0,4832.0,192,192.0,1280,1280.0,5696,5696.0
msmarco-passage-trec-dl-2019,dibud,64,20,43,1.0,102164.58139534884,320,320.0,43216,43216.0,196432,196432.0
msmarco-passage-trec-dl-2019,dibud,64,50,43,0.5116279069767442,105904.6046511628,8448,8448.0,43217,inf,196433,inf
msmarco-passage-trec-dl-2019,dibud,64,100,43,0.27906976744186046,107914.88372093023,10001,inf,43217,inf,196433,inf
msmarco-passage-trec-dl-2020,balanced,1,5,54,1.0,81.16666666666667,45,45.0,177,177.0,272,272.0
msmarco-passage-trec-dl-2020,balanced,1,10,54,1.0,400.0,127,127.0,904,904.0,1083,1083.0
msmarco-passage-trec-dl-2020,balanced,1,20,54,1.0,8618.907407407407,500,500.0,18000,18000.0,36070,36070.0
msmarco-passage-trec-dl-2020,balanced,1,50,54,0.4444444444444444,12951.296296296296,10001,inf,18001,inf,36071,inf
msmarco-passage-trec-dl-2020,balanced,1,100,54,0.05555555555555555,15782.62962962963,10001,inf,18001,inf,36071,inf
msmarco-passage-trec-dl-2020,balanced,64,5,54,1.0,167.11111111111111,128,128.0,256,256.0,384,384.0
msmarco-passage-trec-dl-2020,balanced,64,10,54,1.0,455.1111111111111,128,128.0,1024,1024.0,1088,1088.0
msmarco-passage-trec-dl-2020,balanced,64,20,54,1.0,8656.648148148148,512,512.0,18000,18000.0,36048,36048.0
msmarco-passage-trec-dl-2020,balanced,64,50,54,0.4444444444444444,12963.574074074075,10001,inf,18001,inf,36049,inf
msmarco-passage-trec-dl-2020,balanced,64,100,54,0.05555555555555555,15786.185185185184,10001,inf,18001,inf,36049,inf
msmarco-passage-trec-dl-2020,dibud,1,5,54,1.0,78.87037037037037,44,44.0,173,173.0,262,262.0
msmarco-passage-trec-dl-2020,dibud,1,10,54,1.0,369.94444444444446,124,124.0,794,794.0,1006,1006.0
msmarco-passage-trec-dl-2020,dibud,1,20,54,1.0,8662.611111111111,444,444.0,12725,12725.0,35562,35562.0
msmarco-passage-trec-dl-2020,dibud,1,50,54,0.5185185185185185,12802.407407407407,9246,9246.0,12726,inf,35563,inf
msmarco-passage-trec-dl-2020,dibud,1,100,54,0.05555555555555555,15994.962962962964,10001,inf,12726,inf,35563,inf
msmarco-passage-trec-dl-2020,dibud,64,5,54,1.0,164.74074074074073,128,128.0,256,256.0,320,320.0
msmarco-passage-trec-dl-2020,dibud,64,10,54,1.0,430.22222222222223,128,128.0,896,896.0,1024,1024.0
msmarco-passage-trec-dl-2020,dibud,64,20,54,1.0,8727.574074074075,512,512.0,12752,12752.0,35664,35664.0
msmarco-passage-trec-dl-2020,dibud,64,50,54,0.5185185185185185,12845.981481481482,9344,9344.0,12753,inf,35665,inf
msmarco-passage-trec-dl-2020,dibud,64,100,54,0.05555555555555555,16007.62962962963,10001,inf,12753,inf,35665,inf
nfcorpus,balanced,1,5,323,1.0,145.79876160990713,39,39.0,210,210.0,702,702.0
nfcorpus,balanced,1,10,323,1.0,292.79256965944273,105,105.0,616,616.0,1584,1584.0
nfcorpus,balanced,1,20,323,1.0,728.4767801857585,325,325.0,2081,2081.0,2837,2837.0
nfcorpus,balanced,1,50,323,1.0,1889.5696594427245,1705,1705.0,3808,3808.0,4357,4357.0
nfcorpus,balanced,1,100,323,1.0,2605.4210526315787,2872,2872.0,4505,4505.0,5056,5056.0
nfcorpus,balanced,64,5,323,1.0,216.3498452012384,128,128.0,256,256.0,704,704.0
